language,difficulty,type,code,options,correctAnswer,explanation
Web,Medium,mcq,"[1, 2, 3].map(x => x * 2)","[1, 2, 3]|[2, 4, 6]|[6, 4, 2]|Error","[2, 4, 6]","map() creates a new array with the results of calling a function for every array element."
Web,Medium,mcq,"localStorage.setItem('k', 'v')","Persistent storage|Session storage|Cookie|Temporary cache","Persistent storage","localStorage stores data with no expiration date."
Web,Medium,mcq,"Promise.resolve(1).then(x => x + 1)","Returns 1|Returns 2|Returns a Promise|Error","Returns a Promise","then() always returns a new Promise, which resolves to the value returned from the callback."
Web,Medium,mcq,"document.querySelector('.btn')","Returns all buttons|Returns first element with class btn|Returns id btn|Error","Returns first element with class btn","querySelector returns the first element that matches a specified CSS selector."
Web,Medium,mcq,"event.preventDefault()","Stops event bubbling|Cancels the default action|Deletes the event|Error","Cancels the default action","preventDefault() prevents the browser's default behavior for an event (e.g., following a link)."
Web,Medium,mcq,"flex: 1 0 auto;","grow=1, shrink=0, basis=auto|grow=0, shrink=1, basis=auto|Invalid|Error","grow=1, shrink=0, basis=auto","The flex shorthand stands for flex-grow, flex-shrink, and flex-basis in that order."
Web,Medium,mcq,"opacity: 0.5;","Makes it hidden|Makes it semi-transparent|Changes color|Changes scale","Makes it semi-transparent","The opacity property sets the transparency level of an element."
Web,Medium,fill_in_the_blank,"What is the default value of the position property?",,static,"The default position for all elements is static."
Web,Medium,fill_in_the_blank,"What JS method is used to convert a JSON string into an object?",,JSON.parse,"JSON.parse() parses a JSON string and returns a JavaScript object."
Web,Hard,mcq,"console.log('1');
setTimeout(() => console.log('2'), 0);
Promise.resolve().then(() => console.log('3'));
console.log('4');","1 4 3 2|1 2 3 4|1 3 4 2|1 4 2 3","1 4 3 2","Synchronous (1,4) runs first, then Microtasks (Promise 3), then Macrotasks (setTimeout 2)."
Web,Hard,mcq,"const obj = {
  a: 1,
  b: () => console.log(this.a),
  c: function() { console.log(this.a); }
};
obj.b(); obj.c();","1 1|undefined 1|1 undefined|undefined undefined","undefined 1","Arrow functions (b) inherit 'this' from lexical scope (global); regular functions (c) get 'this' from the caller."
Web,Hard,mcq,"function Foo() {}
const f = new Foo();","f.__proto__ === Foo|f.__proto__ === Foo.prototype|f.prototype === Foo|Error","f.__proto__ === Foo.prototype","An object's __proto__ points to the prototype of its constructor function."
Web,Hard,mcq,"console.log(typeof NaN)","number|NaN|undefined|object","number","NaN is a numeric value representing 'Not-a-Number', so its type is 'number'."
Web,Hard,mcq,"Event bubbling vs capturing","Bottom to top vs Top to bottom|Top to bottom vs Bottom to top|Same|None","Bottom to top vs Top to bottom","Bubbling propagates from the target up; capturing propagates from the root down to the target."
Web,Hard,mcq,"Shadow DOM event.target","Original element|Shadow host|null|shadowRoot","Shadow host","Events from Shadow DOM are retargeted to the host element to maintain encapsulation."
Web,Hard,mcq,":"is(section, #main) p { color: blue; }
article p { color: red; }
(In <section id='main'><article><p>...","Blue|Red|Black|Purple","Blue",":is() takes the specificity of its most specific argument (#main p is stronger than article p)."
Web,Hard,mcq,"Which doesn't create a stacking context?","opacity: 0.9|transform: scale(1)|filter: blur(0)|z-index: 10 on static","z-index: 10 on static","z-index only creates a stacking context on positioned elements (relative, absolute, etc.)."
Web,Hard,mcq,"async function f() {
  await Promise.resolve();
  return 1;
}
console.log(f())","1|Promise { <pending> }|undefined|Error","Promise { <pending> }","Async functions always return a Promise immediately."
Web,Hard,mcq,"'use strict';
x = 10;","Global x is 10|ReferenceError|undefined|Error","ReferenceError","In strict mode, assigning to an undeclared variable throws a ReferenceError."
Web,Hard,mcq,"console.log(1 + '2' + 3)","6|123|'123'|'15'","'123'","Left-to-right: 1 + '2' = '12', then '12' + 3 = '123'."
Web,Hard,mcq,"console.log(Math.max())","-Infinity|Infinity|0|undefined","-Infinity","Math.max() with no arguments returns -Infinity."
Web,Hard,mcq,"[1, 2] + [3, 4]","[1, 2, 3, 4]|'1,23,4'|TypeError|Error","'1,23,4'","Arrays are coerced to strings and concatenated using the + operator."
Web,Hard,mcq,"function f() { return f; }
console.log(new f() instanceof f)","true|false|TypeError|Error","false","If a constructor returns an object, 'new' returns that object instead of the new instance."
Web,Hard,mcq,"0 == '0' vs 0 === '0'","true true|true false|false true|false false","true false","== performs coercion; === does not."
Web,Hard,mcq,"requestAnimationFrame(cb)","Runs before next repaint|Runs every 10ms|Runs after repaint|Blocking","Runs before next repaint","requestAnimationFrame schedules a callback to run before the next screen repaint."
Web,Hard,mcq,"Service Worker scope","Entire domain|Directory and subdirectories|Only one file|Global","Directory and subdirectories","A Service Worker's scope is determined by its location."
Web,Hard,mcq,"What is closure?","Function + Lexical Environment|Private variables|Memory leak|Global scope","Function + Lexical Environment","A closure is the combination of a function and the lexical environment within which it was declared."
Web,Hard,fill_in_the_blank,"What CSS property is used to create a new stacking context without positioning?",,will-change,"The will-change property (and others like opacity < 1) can create a new stacking context."
Web,Hard,fill_in_the_blank,"What is the term for 'hoisting' of functions in JS?",,Hoisting,"Hoisting is JavaScript's default behavior of moving declarations to the top."
